,agg_dob_first,agg_dob_second,agg_height_first,agg_height_second,agg_reach_first,agg_reach_second,agg_stand_first,agg_stand_second,agg_str_acc_first,agg_str_acc_second,agg_weight_first,date_card,first_fighter_res,first_sig_str_,first_sig_str_percentage,first_total_str,method,second_sig_str_percentage,second_total_str,time,type
2275,20-Mar-82,22-Jul-89,"5' 11""","6' 0""","74""","76""",Southpaw,Orthodox,45%,42%,170 lbs.,11-Jul-15,W,70 of 156,44%,76 of 163, KO/TKO ,38%,87 of 223,1:00,belt fight
2276,13-Dec-86,25-May-86,"5' 6""","5' 9""","66""","71""",Orthodox,Orthodox,46%,40%,155 lbs.,11-Jul-15,L,35 of 82,42%,66 of 116, KO/TKO ,52%,39 of 74,0:32,
2277,10-Jan-81,20-Feb-84,"6' 0""","6' 2""","75""","75""",Orthodox,Orthodox,54%,48%,170 lbs.,11-Jul-15,W,25 of 37,67%,26 of 38, Submission ,40%,24 of 48,4:44,
2278,19-Jun-79,14-Jul-87,"6' 1""","5' 9""","77""","72""",Orthodox,Orthodox,37%,31%,170 lbs.,11-Jul-15,L,19 of 94,20%,45 of 124, Decision - Unanimous ,23%,55 of 136,5:00,
2279,2-Sep-87,1-Mar-83,"6' 1""","5' 7""","75""","72""",Orthodox,Orthodox,44%,50%,170 lbs.,11-Jul-15,L,45 of 87,51%,62 of 104, Decision - Split ,54%,78 of 119,5:00,
2280,7-Jul-91,22-Oct-80,"5' 8""","5' 8""","65""","69""",Orthodox,Orthodox,38%,42%,135 lbs.,11-Jul-15,W,64 of 158,40%,68 of 162, Decision - Unanimous ,33%,38 of 109,5:00,
2281,30-Aug-79,16-Jul-91,"5' 4""","5' 9""","64""","68""",Orthodox,Orthodox,41%,46%,125 lbs.,11-Jul-15,L,21 of 43,48%,92 of 121, Decision - Unanimous ,51%,36 of 58,5:00,
2282,12-Feb-85,12-Jul-90,"5' 8""","5' 10""","69""","73""",Orthodox,Orthodox,29%,25%,155 lbs.,11-Jul-15,L,26 of 76,34%,66 of 116, Decision - Unanimous ,15%,70 of 158,5:00,
2283,30-May-78,30-Apr-77,"6' 1""","6' 0""","74""","73""",Southpaw,Southpaw,53%,49%,185 lbs.,27-Jun-15,L,31 of 64,48%,31 of 64, KO/TKO ,60%,44 of 72,1:38,perf
2284,26-Sep-86,3-Sep-86,"6' 0""","5' 11""","73""","72""",Orthodox,Orthodox,40%,46%,170 lbs.,27-Jun-15,L,33 of 101,32%,36 of 104, KO/TKO ,55%,71 of 122,3:07,fight
2285,16-Mar-90,22-Jul-83,"6' 2""","6' 0""","79""","76""",Orthodox,Orthodox,42%,32%,185 lbs.,27-Jun-15,W,40 of 78,51%,76 of 119, Submission ,26%,39 of 75,4:37,
2286,7-Jan-84,29-Jul-81,"6' 2""","5' 11""","76""","72""",Orthodox,Orthodox,48%,52%,205 lbs.,27-Jun-15,W,3 of 4,75%,3 of 4, KO/TKO ,0%,0 of 1,0:29,perf
